chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1
chr16,29280000,29285000,chr16,29285000,29290000,1,1.54505304605903e-05,0
chr5,127685000,127690000,chr5,127690000,127695000,2,2.15688316798506e-09,0
chr9,9670000,9675000,chr9,9680000,9685000,1,3.65800881654905e-05,0
chrX,35455000,35460000,chrX,35460000,35465000,1,1.6576461799019e-05,0
chr19,43410000,43415000,chr19,43415000,43420000,1,1.99292199473828e-05,0
chr14,99535000,99540000,chr14,99540000,99545000,1,5.76211957790651e-05,0
chr14,54425000,54430000,chr14,54435000,54440000,1,9.15703309773787e-05,0
chr5,24160000,24165000,chr5,24170000,24175000,1,6.41760331864686e-05,0
chr4,187595000,187600000,chr4,187600000,187605000,3,1.41978792453327e-13,0
chr14,28460000,28465000,chr14,28465000,28470000,3,5.06125069227186e-15,0
chr4,110210000,110215000,chr4,110215000,110220000,2,4.02093849357745e-09,0
chr12,10565000,10570000,chr12,10570000,10575000,1,1.57716296037739e-05,0
chr2,44225000,44230000,chr2,44235000,44240000,1,0.000312571329935631,0
chr11,67740000,67745000,chr11,67745000,67750000,2,1.63101152192035e-10,0
chr10,18940000,18945000,chr10,18950000,18955000,1,0.000248151943096751,0
chr16,65385000,65390000,chr16,65390000,65395000,1,1.86823656110331e-05,0
chr16,60215000,60220000,chr16,60225000,60230000,1,9.92337927082477e-05,0
chr2,14035000,14040000,chr2,14040000,14045000,3,1.28010865504075e-15,0
chrX,74050000,74055000,chrX,74055000,74060000,1,5.68372784925159e-05,0
chr16,17610000,17615000,chr16,17615000,17620000,4,4.64841095486153e-17,0
chr15,75435000,75440000,chr15,75440000,75445000,4,2.49353021596711e-16,0
chr11,29760000,29765000,chr11,29765000,29770000,2,2.10313015456335e-09,0
chr5,111860000,111865000,chr5,111865000,111870000,2,3.95154952786445e-09,0
chrX,146175000,146180000,chrX,146185000,146190000,1,2.22269306008294e-05,0
chr4,160590000,160595000,chr4,160600000,160605000,1,4.91252703479383e-06,0
chr12,52195000,52200000,chr12,52205000,52210000,1,0.000140350991698356,0
chr6,85370000,85375000,chr6,85385000,85390000,1,0.000122090067996601,0
chr2,227145000,227150000,chr2,227150000,227155000,3,3.38780249810371e-15,0
chr8,54345000,54350000,chr8,54350000,54355000,2,1.7182405840844e-09,0
chr7,15060000,15065000,chr7,15065000,15070000,2,2.82761878020268e-09,0
chr7,110180000,110185000,chr7,110190000,110195000,1,8.29394277583141e-05,0
chr14,61655000,61660000,chr14,61665000,61670000,1,4.79889317665429e-05,0
