chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1,YY1peak1_start,YY1peak1_end,YY1peak2_start,YY1peak2_end,YY1_distance
chr10,100025000,100030000,chr10,100065000,100070000,9,2.09399163968495e-33,0.989,100029085,100029623,100069413,100069644,40174
chr10,100065000,100070000,chr10,100080000,100085000,8,5.24940962726838e-29,0.981,100069413,100069644,100082928,100083317,13594
chr10,100185000,100190000,chr10,100205000,100210000,9,8.263471234287e-32,0.992,100185574,100185730,100206558,100206882,21068
chr10,101320000,101325000,chr10,101370000,101375000,7,9.02096892223584e-26,0.903,101320302,101320574,101372030,101372299,51726
chr10,101370000,101375000,chr10,101380000,101385000,10,2.32909166539898e-37,0.998,101372030,101372299,101380055,101381310,8518
chr10,101665000,101670000,chr10,101680000,101685000,16,1.58708795800047e-55,1,101666207,101666586,101681722,101682035,15482
chr10,102095000,102100000,chr10,102100000,102105000,24,7.68947561733234e-96,1,102098217,102098540,102102066,102102481,3895
chr10,102100000,102105000,chr10,102190000,102195000,21,3.18693028012825e-77,0.998,102102066,102102481,102193324,102193869,91323
chr10,102800000,102805000,chr10,102810000,102815000,22,1.6806501560389e-84,1,102802441,102803015,102812039,102812289,9436
chr10,102810000,102815000,chr10,102815000,102820000,35,6.99873888008973e-140,1,102812039,102812289,102819752,102820043,7733
chr10,103110000,103115000,chr10,103120000,103125000,9,1.12149854368288e-32,0.994,103113118,103114374,103124526,103124719,10876
chr10,103330000,103335000,chr10,103345000,103350000,7,4.82574550331945e-28,0.948,103329803,103330297,103347707,103348528,18067
chr10,103590000,103595000,chr10,103600000,103605000,8,5.09147726644308e-30,0.99,103590351,103590615,103600374,103600708,10058
chr10,103815000,103820000,chr10,103825000,103830000,8,2.41816393071354e-30,0.987,103815408,103816353,103824565,103825487,9145
chr10,103825000,103830000,chr10,103830000,103835000,26,9.20161282170455e-110,1,103824565,103825487,103832642,103833017,7803
chr10,103910000,103915000,chr10,103925000,103930000,7,9.14473882980709e-23,0.924,103911557,103912367,103929229,103929604,17454
chr10,104105000,104110000,chr10,104110000,104115000,12,6.08851846333533e-47,0.987,104107031,104107250,104111878,104112166,4881
chr10,104150000,104155000,chr10,104165000,104170000,8,2.9030187813315e-29,0.979,104153635,104154308,104168905,104169202,15082
chr10,104160000,104165000,chr10,104165000,104170000,22,1.41040080106313e-96,1,104163620,104163875,104168905,104169202,5306
chr10,104160000,104165000,chr10,104190000,104195000,8,1.1543468747741e-28,0.969,104163620,104163875,104191462,104192662,28314
chr10,104165000,104170000,chr10,104190000,104195000,7,7.20119478496553e-23,0.941,104168905,104169202,104191462,104192662,23008
chr10,104190000,104195000,chr10,104220000,104225000,13,2.28033831458609e-39,1,104191462,104192662,104220467,104221327,28835
chr10,104355000,104360000,chr10,104360000,104365000,64,1.38200492150329e-261,1,104356263,104356518,104364094,104364517,7915
chr10,104355000,104360000,chr10,104365000,104370000,13,2.70279772631705e-46,1,104356263,104356518,104367266,104367529,11007
chr10,104360000,104365000,chr10,104365000,104370000,47,7.71255368625925e-184,1,104364094,104364517,104367266,104367529,3092
chr10,104360000,104365000,chr10,104390000,104395000,7,6.523071608964e-24,0.939,104364094,104364517,104394507,104394743,30319
chr10,104385000,104390000,chr10,104390000,104395000,24,2.12482618095328e-101,1,104388369,104388747,104394507,104394743,6067
chr10,104470000,104475000,chr10,104485000,104490000,9,1.1096102300282e-32,0.993,104473430,104474929,104489057,104489312,15005
chr10,104470000,104475000,chr10,104500000,104505000,11,1.63327839952579e-35,0.999,104473430,104474929,104502801,104503885,29163
chr10,104485000,104490000,chr10,104500000,104505000,10,3.19453575543545e-34,0.998,104489057,104489312,104502801,104503885,14158
chr10,104500000,104505000,chr10,104510000,104515000,16,5.78147395586468e-55,1,104502801,104503885,104512961,104513229,9752
chr10,104990000,104995000,chr10,104995000,105000000,17,3.05131708210879e-61,1,104992734,104993091,104998511,104998980,5833
chr10,105010000,105015000,chr10,105030000,105035000,7,5.91553583492632e-26,0.949,105014652,105014950,105032783,105033124,18152
chr10,105235000,105240000,chr10,105240000,105245000,17,4.81893595441669e-66,1,105238949,105239243,105241684,105241987,2739
chr10,105245000,105250000,chr10,105250000,105255000,19,1.39448877618834e-78,1,105245489,105245768,105251665,105251973,6190
chr10,105650000,105655000,chr10,105655000,105660000,63,2.42931672175888e-243,1,105650054,105650342,105655113,105655657,5187
chr10,105650000,105655000,chr10,105665000,105670000,9,4.62199364623955e-31,0.992,105650054,105650342,105667910,105668484,17999
chr10,105650000,105655000,chr10,105675000,105680000,14,6.97052490145793e-46,1,105650054,105650342,105677322,105678457,27691
chr10,105650000,105655000,chr10,105725000,105730000,9,2.28486946664848e-28,0.926,105650054,105650342,105726505,105727082,76595
chr10,105655000,105660000,chr10,105665000,105670000,16,3.70517791382493e-60,1,105655113,105655657,105667910,105668484,12812
chr10,105655000,105660000,chr10,105675000,105680000,9,2.25480511986076e-29,0.991,105655113,105655657,105677322,105678457,22504
chr10,105655000,105660000,chr10,105725000,105730000,9,1.76910069562923e-29,0.923,105655113,105655657,105726505,105727082,71408
chr10,105665000,105670000,chr10,105675000,105680000,9,3.46242711393101e-32,0.997,105667910,105668484,105677322,105678457,9692
chr10,105865000,105870000,chr10,105875000,105880000,9,7.22560380109991e-34,0.988,105869606,105870040,105877490,105878118,7981
chr10,105875000,105880000,chr10,105885000,105890000,7,1.32136473084692e-22,0.924,105877490,105878118,105887250,105887475,9558
chr10,105965000,105970000,chr10,106010000,106015000,7,3.86977910680765e-24,0.913,105969366,105969650,106014374,106014766,45062
chr10,106025000,106030000,chr10,106030000,106035000,32,2.18948979118442e-127,1,106028376,106029187,106034418,106035362,6108
chr10,106065000,106070000,chr10,106085000,106090000,7,5.24226268071746e-27,0.959,106065351,106065745,106088809,106089462,23587
chr10,106340000,106345000,chr10,106380000,106385000,7,2.29982783928381e-26,0.919,106340544,106340859,106382433,106382716,41873
chr10,111640000,111645000,chr10,111670000,111675000,7,1.44683209385609e-23,0.912,111643983,111644274,111674818,111675042,30801
chr10,111670000,111675000,chr10,111680000,111685000,10,6.37435306568858e-34,0.997,111674818,111675042,111682923,111683564,8313
chr10,111895000,111900000,chr10,111980000,111985000,9,3.4365322585158e-31,0.916,111896794,111897201,111981509,111981934,84724
chr10,111970000,111975000,chr10,111980000,111985000,13,8.59334410662005e-47,1,111970535,111971259,111981509,111981934,10824
chr10,111980000,111985000,chr10,111985000,111990000,16,1.17840188055818e-64,1,111981509,111981934,111985388,111985776,3860
chr10,112065000,112070000,chr10,112070000,112075000,24,9.80366977523515e-100,1,112065990,112066173,112071050,112071484,5185
chr10,112290000,112295000,chr10,112305000,112310000,9,6.58466720070861e-30,0.993,112289966,112290426,112306949,112307327,16942
chr10,112305000,112310000,chr10,112315000,112320000,18,1.70617697290265e-68,1,112306949,112307327,112316770,112317096,9795
chr10,113895000,113900000,chr10,113900000,113905000,32,4.98260016018413e-135,1,113897203,113897471,113899883,113900232,2720
chr10,114090000,114095000,chr10,114135000,114140000,9,4.04818212309741e-28,0.973,114092477,114092844,114139383,114140470,47266
chr10,114090000,114095000,chr10,114145000,114150000,8,2.53437689267942e-24,0.918,114092477,114092844,114149008,114149604,56645
chr10,114130000,114135000,chr10,114135000,114140000,31,3.42439790355285e-123,1,114134465,114134780,114139383,114140470,5304
chr10,114130000,114135000,chr10,114140000,114145000,10,1.33923633920136e-34,0.998,114134465,114134780,114142984,114143485,8612
chr10,114130000,114135000,chr10,114145000,114150000,9,2.25638161078092e-31,0.995,114134465,114134780,114149008,114149604,14683
chr10,114135000,114140000,chr10,114140000,114145000,75,5.29858087323101e-291,1,114139383,114140470,114142984,114143485,3308
chr10,114135000,114140000,chr10,114145000,114150000,18,1.60527901794453e-60,1,114139383,114140470,114149008,114149604,9379
chr10,114140000,114145000,chr10,114145000,114150000,54,5.83268427575352e-199,1,114142984,114143485,114149008,114149604,6071
chr10,114145000,114150000,chr10,114160000,114165000,9,4.23398681542012e-30,0.995,114149008,114149604,114164327,114164701,15208
chr10,116275000,116280000,chr10,116285000,116290000,7,7.44638138091781e-26,0.924,116279048,116279332,116286448,116286854,7461
chr10,116380000,116385000,chr10,116390000,116395000,17,2.80651004816185e-60,1,116383711,116383948,116393007,116393417,9382
chr10,116510000,116515000,chr10,116525000,116530000,7,9.87488639803695e-26,0.945,116514527,116514779,116527395,116527686,12887
chr10,116525000,116530000,chr10,116540000,116545000,9,8.60092557512638e-32,0.994,116527395,116527686,116539849,116540330,12549
