chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1
chr12,34100000,34105000,chr12,34105000,34110000,3,2.55360889681763e-15,0
chrX,6615000,6620000,chrX,6620000,6625000,1,4.74685716609741e-06,0
chr5,163995000,164000000,chr5,164000000,164005000,1,4.48494840165903e-05,0
chr6,92790000,92795000,chr6,92795000,92800000,3,4.37777841312144e-15,0
chr15,88380000,88385000,chr15,88385000,88390000,1,6.70983094555087e-06,0
chrX,25495000,25500000,chrX,25500000,25505000,1,3.23110625323229e-05,0
chr5,29830000,29835000,chr5,29835000,29840000,1,3.95557852100602e-05,0
chr16,73870000,73875000,chr16,73875000,73880000,3,4.41869998094968e-13,0
chr4,131395000,131400000,chr4,131400000,131405000,3,6.36759086358278e-13,0
chr4,55815000,55820000,chr4,55820000,55825000,3,2.36096386870269e-12,0
chr13,58445000,58450000,chr13,58450000,58455000,2,2.60283992295118e-09,0
chr18,76055000,76060000,chr18,76060000,76065000,2,5.82350344493188e-10,0
chrX,30150000,30155000,chrX,30155000,30160000,1,4.32395699279271e-05,0
chr18,2395000,2400000,chr18,2400000,2405000,1,0.000128898785771986,0
chr13,100260000,100265000,chr13,100265000,100270000,3,2.91332048537036e-13,0
chr4,106215000,106220000,chr4,106220000,106225000,1,5.13921775426669e-05,0
chr15,96485000,96490000,chr15,96490000,96495000,1,9.39017619555863e-05,0
chrX,139350000,139355000,chrX,139355000,139360000,1,6.54327555885521e-06,0
chr3,83545000,83550000,chr3,83550000,83555000,1,3.02411238161403e-05,0
chr17,6840000,6845000,chr17,6845000,6850000,3,3.41545138698428e-14,0
chr11,25840000,25845000,chr11,25845000,25850000,3,3.45821542597902e-15,0
chr11,30635000,30640000,chr11,30640000,30645000,3,1.33156310140348e-13,0
chr8,65095000,65100000,chr8,65100000,65105000,3,3.07479019677372e-15,0
chrX,55115000,55120000,chrX,55120000,55125000,1,1.23488784183761e-05,0
chr4,77200000,77205000,chr4,77205000,77210000,3,1.27203842168935e-13,0
chr11,40500000,40505000,chr11,40505000,40510000,3,2.01023597792927e-14,0
chr13,74370000,74375000,chr13,74375000,74380000,2,1.63323832817076e-08,0
chr19,54715000,54720000,chr19,54720000,54725000,2,6.28985026868557e-10,0
chrX,140855000,140860000,chrX,140860000,140865000,1,7.47518956802916e-06,0
chr8,50595000,50600000,chr8,50600000,50605000,1,4.54759987760837e-05,0
chr7,157645000,157650000,chr7,157650000,157655000,1,4.55077230696348e-05,0
chr11,42970000,42975000,chr11,42975000,42980000,1,1.09926548992959e-05,0
chr3,77925000,77930000,chr3,77930000,77935000,2,7.85894050170202e-10,0
chr4,98695000,98700000,chr4,98700000,98705000,1,3.12642001588508e-05,0
chrX,143945000,143950000,chrX,143950000,143955000,2,5.92864695779652e-11,0
chr7,158025000,158030000,chr7,158030000,158035000,3,1.12363350929264e-13,0
chr13,61665000,61670000,chr13,61670000,61675000,2,1.01112763298023e-10,0
chr6,79545000,79550000,chr6,79550000,79555000,1,0.000145153514765262,0
chr3,83150000,83155000,chr3,83155000,83160000,1,1.64968235384149e-05,0
chr16,74585000,74590000,chr16,74590000,74595000,1,3.27750305316529e-05,0
chrX,95205000,95210000,chrX,95210000,95215000,1,8.08985548395367e-06,0
chrX,148175000,148180000,chrX,148180000,148185000,3,5.53104880781154e-16,0
chr18,58460000,58465000,chr18,58465000,58470000,3,1.54677671941403e-14,0
chr20,23490000,23495000,chr20,23495000,23500000,1,6.23837203849311e-05,0
chr18,8875000,8880000,chr18,8880000,8885000,2,1.11083215483017e-09,0
chr17,36220000,36225000,chr17,36225000,36230000,1,3.07407647385546e-05,0
chrX,103990000,103995000,chrX,103995000,104000000,1,3.86635847184225e-05,0
chrX,127800000,127805000,chrX,127805000,127810000,1,4.71116654807976e-06,0
chr19,20420000,20425000,chr19,20425000,20430000,1,5.66291215582196e-06,0
chr10,109915000,109920000,chr10,109920000,109925000,1,3.89728804137682e-05,0
chr18,37695000,37700000,chr18,37700000,37705000,3,1.86456725717725e-16,0
chr11,83860000,83865000,chr11,83865000,83870000,1,5.74589719208224e-05,0
chr12,34300000,34305000,chr12,34305000,34310000,3,1.13872162145566e-13,0
chr13,113435000,113440000,chr13,113440000,113445000,1,1.15478333536851e-05,0
chr3,166090000,166095000,chr3,166095000,166100000,3,3.07082723980167e-13,0
chr6,139760000,139765000,chr6,139765000,139770000,3,4.48274371047989e-12,0
chr2,216085000,216090000,chr2,216090000,216095000,1,3.92584022482563e-05,0
chr10,19355000,19360000,chr10,19360000,19365000,1,2.94480399797528e-05,0
chr7,57315000,57320000,chr7,57320000,57325000,1,2.04068094650462e-05,0
chr14,40915000,40920000,chr14,40920000,40925000,3,5.52060854724715e-13,0
chr4,44420000,44425000,chr4,44425000,44430000,1,1.18968034145726e-05,0
chr5,13210000,13215000,chr5,13215000,13220000,1,1.47757860113672e-05,0
chr2,148390000,148395000,chr2,148395000,148400000,2,7.11665416641039e-09,0
chr3,86180000,86185000,chr3,86185000,86190000,1,2.18899051689659e-05,0
chrX,114225000,114230000,chrX,114230000,114235000,2,3.21761109180159e-09,0
chr14,34335000,34340000,chr14,34340000,34345000,3,1.54708821167122e-13,0
chr17,6480000,6485000,chr17,6485000,6490000,2,1.26177651392522e-09,0
chrX,67285000,67290000,chrX,67290000,67295000,3,1.23208335947922e-14,0
chr4,54685000,54690000,chr4,54690000,54695000,1,6.88035802911502e-06,0
chr4,44530000,44535000,chr4,44535000,44540000,3,4.8097246664423e-14,0
chr15,86420000,86425000,chr15,86425000,86430000,2,4.35905308691256e-09,0
chr6,66795000,66800000,chr6,66800000,66805000,1,2.97573442704422e-05,0
chr18,41230000,41235000,chr18,41235000,41240000,3,1.87122476057389e-14,0
chr1,192010000,192015000,chr1,192020000,192025000,1,0.000245064923904099,0
chr2,210805000,210810000,chr2,210810000,210815000,3,3.87743046099674e-12,0
chr9,109365000,109370000,chr9,109370000,109375000,2,2.71048853480862e-09,0
chr2,23395000,23400000,chr2,23400000,23405000,3,3.78695581121387e-15,0
chr15,25840000,25845000,chr15,25845000,25850000,3,1.26590660937676e-14,0
chr11,34980000,34985000,chr11,34985000,34990000,2,3.96907649017602e-09,0
chrX,139670000,139675000,chrX,139675000,139680000,1,1.90188879017002e-05,0
chr16,61395000,61400000,chr16,61400000,61405000,2,1.30151398835042e-10,0
chr19,40715000,40720000,chr19,40720000,40725000,3,5.65786720197691e-13,0
chr7,108640000,108645000,chr7,108645000,108650000,1,8.42709036811677e-05,0
chr1,4155000,4160000,chr1,4160000,4165000,1,8.70305264291776e-05,0
chr7,79970000,79975000,chr7,79975000,79980000,3,1.28456371004412e-12,0
chr11,26145000,26150000,chr11,26150000,26155000,1,3.30843138751279e-05,0
chr12,31305000,31310000,chr12,31310000,31315000,2,2.56992817165648e-10,0
chr5,153880000,153885000,chr5,153885000,153890000,2,7.00708431293398e-09,0
chr7,145875000,145880000,chr7,145880000,145885000,3,9.27338155166059e-15,0
chr1,2235000,2240000,chr1,2240000,2245000,1,2.22705850411839e-05,0
chr7,103215000,103220000,chr7,103220000,103225000,2,2.93046158781138e-08,0
chr1,191330000,191335000,chr1,191335000,191340000,1,5.23121132539291e-05,0
chr4,86745000,86750000,chr4,86750000,86755000,3,1.20589311238505e-13,0
chr11,94780000,94785000,chr11,94790000,94795000,1,0.000369811246285102,0
chr3,44975000,44980000,chr3,44980000,44985000,2,1.0781172042954e-08,0
chr21,31485000,31490000,chr21,31490000,31495000,1,4.57456381524071e-05,0
chr5,56310000,56315000,chr5,56315000,56320000,1,0.00010958272738629,0
chrX,147480000,147485000,chrX,147485000,147490000,1,1.28802580416155e-05,0
chr1,172695000,172700000,chr1,172705000,172710000,1,0.000539395181225588,0
chrX,136435000,136440000,chrX,136440000,136445000,1,7.42363806737858e-06,0
chr5,6025000,6030000,chr5,6030000,6035000,2,4.13468833024332e-09,0
chr18,72175000,72180000,chr18,72180000,72185000,3,1.61490556089872e-14,0
chr4,180720000,180725000,chr4,180725000,180730000,4,3.72501958571694e-16,0
chr1,107010000,107015000,chr1,107015000,107020000,2,2.12261621131514e-09,0
chr3,9370000,9375000,chr3,9375000,9380000,3,2.2936243791509e-14,0
chr9,10320000,10325000,chr9,10325000,10330000,3,5.1210528595601e-14,0
chr15,35640000,35645000,chr15,35645000,35650000,1,3.18590156630273e-05,0
chr4,68045000,68050000,chr4,68050000,68055000,1,1.09411027386483e-05,0
chr1,50745000,50750000,chr1,50750000,50755000,2,5.13821385127648e-09,0
chr11,79600000,79605000,chr11,79605000,79610000,2,1.34284863028224e-09,0
chr8,5060000,5065000,chr8,5065000,5070000,2,5.00710242424551e-10,0
chr3,77840000,77845000,chr3,77845000,77850000,1,4.99012443294774e-05,0
chr1,173465000,173470000,chr1,173470000,173475000,4,3.22780422989221e-17,0
chr7,28290000,28295000,chr7,28295000,28300000,3,3.41044232699392e-13,0
chr3,187605000,187610000,chr3,187610000,187615000,1,7.02505250348705e-05,0
chr5,29905000,29910000,chr5,29910000,29915000,1,3.30803483574537e-05,0
chr4,85905000,85910000,chr4,85910000,85915000,1,2.35078203750471e-05,0
chr9,100570000,100575000,chr9,100575000,100580000,1,0.000184226143029061,0
chr3,133675000,133680000,chr3,133685000,133690000,1,0.000280372433244533,0
chr5,165815000,165820000,chr5,165820000,165825000,1,5.13921775426435e-05,0
chr1,41990000,41995000,chr1,41995000,42000000,2,8.07339738914862e-10,0
chr8,118105000,118110000,chr8,118110000,118115000,2,2.27576395596379e-08,0
chr15,27300000,27305000,chr15,27305000,27310000,3,1.4096999881811e-14,0
chr7,147130000,147135000,chr7,147135000,147140000,1,2.94440746813724e-05,0
chr1,5170000,5175000,chr1,5175000,5180000,1,1.02035075902554e-05,0
chr21,22385000,22390000,chr21,22390000,22395000,1,3.69465874236128e-05,0
chr12,130000000,130005000,chr12,130005000,130010000,3,1.66265089296296e-14,0
chr8,100495000,100500000,chr8,100500000,100505000,3,3.42385089638356e-13,0
chr8,114650000,114655000,chr8,114655000,114660000,2,4.3025913365991e-09,0
chr12,89800000,89805000,chr12,89805000,89810000,2,6.61489938280267e-09,0
chr3,18560000,18565000,chr3,18565000,18570000,3,1.65288629059646e-13,0
chr3,88535000,88540000,chr3,88540000,88545000,1,6.99015950561479e-05,0
chr17,19915000,19920000,chr17,19920000,19925000,3,6.05418183876261e-13,0
chr16,51555000,51560000,chr16,51560000,51565000,1,4.28271787490038e-05,0
chr12,2790000,2795000,chr12,2795000,2800000,2,1.53119311792361e-08,0
chr3,35205000,35210000,chr3,35210000,35215000,2,6.95651376387543e-10,0
chr4,91930000,91935000,chr4,91935000,91940000,3,7.86651383690254e-14,0
chr11,28625000,28630000,chr11,28630000,28635000,3,4.89028644984051e-12,0
chr6,160280000,160285000,chr6,160285000,160290000,2,1.41527598744308e-08,0
chr9,109440000,109445000,chr9,109445000,109450000,3,8.77403875707494e-13,0
chr7,146310000,146315000,chr7,146315000,146320000,2,3.66442959708465e-09,0
chr3,96685000,96690000,chr3,96690000,96695000,3,3.08694981105662e-14,0
chr8,97775000,97780000,chr8,97780000,97785000,3,1.9329538785634e-12,0
chr5,23440000,23445000,chr5,23445000,23450000,3,6.95663230576246e-15,0
chr11,56415000,56420000,chr11,56420000,56425000,1,2.83972035276951e-05,0
chrX,143135000,143140000,chrX,143140000,143145000,1,1.333629568446e-05,0
chr17,19750000,19755000,chr17,19755000,19760000,1,0.000121342143312642,0
chr14,30035000,30040000,chr14,30040000,30045000,3,1.32877573390754e-14,0
chrX,148680000,148685000,chrX,148685000,148690000,2,7.54842785385042e-11,0
chr2,138375000,138380000,chr2,138380000,138385000,1,5.77365315756663e-05,0
chr6,65890000,65895000,chr6,65895000,65900000,3,4.38699163335454e-15,0
chr16,65120000,65125000,chr16,65125000,65130000,1,4.60628613393954e-05,0
chr2,66950000,66955000,chr2,66955000,66960000,3,2.23863994330166e-14,0
chr17,30280000,30285000,chr17,30285000,30290000,3,3.49055821674327e-14,0
chr16,77185000,77190000,chr16,77190000,77195000,1,0.000169942953975055,0
chr13,58000000,58005000,chr13,58005000,58010000,3,2.96356089804697e-14,0
chr19,30950000,30955000,chr19,30955000,30960000,1,4.59676974298785e-05,0
chr16,46465000,46470000,chr16,46470000,46475000,1,6.28154578201999e-06,0
chr2,138235000,138240000,chr2,138240000,138245000,1,1.31102611417604e-05,0
chrX,38985000,38990000,chrX,38990000,38995000,1,2.20524840502746e-05,0
chr2,8210000,8215000,chr2,8215000,8220000,2,3.03352831110485e-08,0
chrX,35320000,35325000,chrX,35325000,35330000,1,9.70781091215249e-06,0
chr15,24295000,24300000,chr15,24300000,24305000,2,5.46772024329166e-09,0
chr17,3755000,3760000,chr17,3760000,3765000,2,1.39540067218776e-08,0
chr11,38080000,38085000,chr11,38085000,38090000,2,9.21606226606466e-10,0
chr7,57415000,57420000,chr7,57420000,57425000,3,1.22379910444351e-15,0
chrX,88275000,88280000,chrX,88280000,88285000,1,2.25243752547121e-05,0
chr10,133455000,133460000,chr10,133460000,133465000,3,1.02978762315695e-15,0
chrX,47190000,47195000,chrX,47195000,47200000,3,2.8029973251657e-14,0
chr8,61145000,61150000,chr8,61150000,61155000,3,2.06028725390825e-12,0
chr6,2900000,2905000,chr6,2905000,2910000,3,9.04798616995548e-13,0
chr14,83575000,83580000,chr14,83580000,83585000,2,1.38165029402516e-09,0
chr7,42730000,42735000,chr7,42740000,42745000,1,0.000245746679637606,0
chr16,25755000,25760000,chr16,25760000,25765000,1,4.61104445628253e-05,0
chr6,141455000,141460000,chr6,141460000,141465000,2,2.17208546892218e-08,0
chr8,85385000,85390000,chr8,85390000,85395000,2,2.03886898494411e-08,0
chr22,23680000,23685000,chr22,23685000,23690000,1,2.08430127788538e-05,0
chr1,53355000,53360000,chr1,53360000,53365000,1,0.000150200302269689,0
chr11,115370000,115375000,chr11,115375000,115380000,2,5.09709094564687e-10,0
chr14,49610000,49615000,chr14,49615000,49620000,1,9.21211526284842e-06,0
chr1,117185000,117190000,chr1,117190000,117195000,2,2.97445574401515e-10,0
chr8,4875000,4880000,chr8,4880000,4885000,1,4.94095522221037e-05,0
chr15,24030000,24035000,chr15,24035000,24040000,2,8.98364331261627e-10,0
chr5,113985000,113990000,chr5,113990000,113995000,2,2.83884444093162e-09,0
chr17,2450000,2455000,chr17,2455000,2460000,3,1.96080764376605e-13,0
chrX,86195000,86200000,chrX,86200000,86205000,1,1.56402709119061e-05,0
chr4,94475000,94480000,chr4,94480000,94485000,1,7.82758146615061e-05,0
chr12,106995000,107000000,chr12,107000000,107005000,2,9.2033841318525e-09,0
chrX,139710000,139715000,chrX,139715000,139720000,1,2.56973289442094e-06,0
chr3,44440000,44445000,chr3,44445000,44450000,3,1.48982460188831e-12,0
chr21,19425000,19430000,chr21,19430000,19435000,1,6.65788316342038e-05,0
chr1,179430000,179435000,chr1,179435000,179440000,1,6.44535646569747e-05,0
chr12,130565000,130570000,chr12,130570000,130575000,1,3.7973613585832e-05,0
chr10,121080000,121085000,chr10,121085000,121090000,2,3.61079026647255e-08,0
chr3,87535000,87540000,chr3,87540000,87545000,3,1.9758720074344e-13,0
chr10,9195000,9200000,chr10,9200000,9205000,1,2.969389601073e-05,0
chr2,98165000,98170000,chr2,98170000,98175000,1,7.15397656823686e-06,0
chr2,243060000,243065000,chr2,243065000,243070000,1,2.14144463917031e-06,0
chr2,14930000,14935000,chr2,14935000,14940000,2,8.07814665724553e-10,0
chr18,8640000,8645000,chr18,8645000,8650000,2,1.30464742480852e-09,0
chr1,79075000,79080000,chr1,79080000,79085000,2,1.3973034894296e-09,0
chr4,180595000,180600000,chr4,180600000,180605000,2,3.7442216665105e-09,0
chr8,43720000,43725000,chr8,43725000,43730000,1,5.63515291659093e-06,0
chr15,54430000,54435000,chr15,54435000,54440000,4,1.0895463867157e-20,0
chr7,158065000,158070000,chr7,158070000,158075000,2,2.58480318545653e-10,0
chr11,21040000,21045000,chr11,21045000,21050000,3,5.12196502205327e-14,0
chr4,66170000,66175000,chr4,66175000,66180000,2,1.14995706600989e-09,0
chr7,86195000,86200000,chr7,86200000,86205000,2,8.63624945693802e-09,0
chr3,37145000,37150000,chr3,37150000,37155000,3,5.57721855552156e-13,0
chr3,60595000,60600000,chr3,60600000,60605000,2,2.7996894092203e-09,0
