chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1,YY1peak1_start,YY1peak1_end,YY1peak2_start,YY1peak2_end,YY1_distance
chr10,100205000,100210000,chr10,100215000,100220000,8,2.50207845854352e-35,0.979,100206555,100206872,100219271,100219517,12680
chr10,100205000,100210000,chr10,100220000,100225000,7,3.97546297552337e-29,0.951,100206555,100206872,100220562,100220769,13952
chr10,102085000,102090000,chr10,102100000,102105000,9,2.09914185396182e-38,0.997,102085023,102085204,102102219,102102421,17206
chr10,102095000,102100000,chr10,102100000,102105000,12,1.53797475283324e-52,0.974,102098310,102098496,102102219,102102421,3917
chr10,102430000,102435000,chr10,102440000,102445000,7,3.26671959206458e-31,0.917,102430803,102431010,102440581,102440742,9755
chr10,1025000,1030000,chr10,1030000,1035000,19,1.42616677008143e-79,1,1026559,1026735,1034096,1034610,7706
chr10,103050000,103055000,chr10,103055000,103060000,12,4.99903907064108e-52,0.979,103051457,103051621,103057730,103057872,6262
chr10,103990000,103995000,chr10,104000000,104005000,8,6.3315613233316e-34,0.965,103990713,103990959,104004863,104005081,14136
chr10,104000000,104005000,chr10,104005000,104010000,16,1.74103765179283e-64,1,104004863,104005081,104005130,104005819,502
chr10,104190000,104195000,chr10,104195000,104200000,26,1.91260840492081e-108,1,104191558,104192602,104195090,104195617,3273
chr10,104190000,104195000,chr10,104205000,104210000,7,2.24113872412974e-26,0.952,104191558,104192602,104209409,104209744,17496
chr10,104195000,104200000,chr10,104205000,104210000,7,1.51520622666741e-27,0.909,104195090,104195617,104209409,104209744,14223
chr10,104205000,104210000,chr10,104215000,104220000,9,5.93527468104106e-35,0.991,104209409,104209744,104215791,104216003,6320
chr10,104430000,104435000,chr10,104435000,104440000,12,5.38086877611671e-53,0.961,104433881,104434162,104438602,104438789,4674
chr10,11735000,11740000,chr10,11745000,11750000,14,4.04937313637858e-55,1,11736874,11737134,11749293,11749421,12353
chr10,12085000,12090000,chr10,12090000,12095000,13,8.77468542313636e-54,0.988,12085202,12085637,12093259,12093482,7951
chr10,120860000,120865000,chr10,120890000,120895000,10,1.57215561115627e-40,0.999,120863516,120864045,120891234,120891549,27611
chr10,120935000,120940000,chr10,120945000,120950000,7,1.56316310420783e-28,0.907,120937923,120938490,120945068,120945294,6974
chr10,126385000,126390000,chr10,126405000,126410000,7,1.0544908596155e-27,0.944,126386329,126386603,126407080,126407319,20733
chr10,126835000,126840000,chr10,126840000,126845000,16,1.39311969474223e-72,1,126837987,126838203,126843304,126843445,5279
chr10,127580000,127585000,chr10,127585000,127590000,20,1.67739420963487e-71,1,127584214,127584615,127584892,127585198,630
chr10,13395000,13400000,chr10,13400000,13405000,16,1.97422208915843e-66,1,13396362,13396532,13404665,13404833,8302
chr10,14220000,14225000,chr10,14225000,14230000,18,7.85321560001129e-76,1,14223336,14223501,14227504,14228096,4381
chr10,14225000,14230000,chr10,14230000,14235000,16,9.94193934958765e-73,1,14227504,14228096,14232863,14233043,5153
chr10,15325000,15330000,chr10,15355000,15360000,7,1.85452335766406e-26,0.962,15327127,15327316,15355944,15356143,28822
chr10,15480000,15485000,chr10,15495000,15500000,7,2.25008965010345e-26,0.932,15484060,15484253,15499428,15499758,15436
chr10,15480000,15485000,chr10,15500000,15505000,9,2.24086402594357e-33,0.99,15484060,15484253,15503349,15503579,19307
chr10,15495000,15500000,chr10,15500000,15505000,15,5.51957206814018e-61,1,15499428,15499758,15503349,15503579,3871
chr10,15890000,15895000,chr10,15895000,15900000,20,7.24093648616224e-86,1,15892398,15892589,15898523,15898717,6126
chr10,15895000,15900000,chr10,15900000,15905000,19,1.64509174497204e-82,1,15898523,15898717,15901965,15902575,3650
chr10,17545000,17550000,chr10,17550000,17555000,17,6.0320227086551e-70,1,17548999,17549357,17551274,17551443,2180
chr10,18940000,18945000,chr10,18945000,18950000,14,3.49282321701718e-61,0.999,18940254,18940722,18948013,18948821,7929
chr10,21565000,21570000,chr10,21570000,21575000,25,6.07924411698403e-109,1,21567742,21567957,21572032,21572214,4273
chr10,22505000,22510000,chr10,22515000,22520000,9,5.09877620765036e-37,0.992,22506804,22507014,22517798,22518556,11268
chr10,22895000,22900000,chr10,22900000,22905000,25,8.82757037510364e-107,1,22895323,22895524,22904710,22905215,9539
chr10,22895000,22900000,chr10,22920000,22925000,7,2.40337307755812e-26,0.952,22895323,22895524,22920745,22920976,25437
chr10,22915000,22920000,chr10,22920000,22925000,22,8.98432012790706e-94,1,22919821,22920035,22920745,22920976,932
chr10,22985000,22990000,chr10,22995000,23000000,12,7.27670870862635e-50,1,22986952,22987144,22999194,22999339,12218
chr10,23325000,23330000,chr10,23335000,23340000,13,1.2204995439088e-51,1,23329011,23329222,23336090,23336444,7150
chr10,23380000,23385000,chr10,23385000,23390000,17,2.36428398577137e-70,1,23384256,23384830,23384904,23385315,566
chr10,23430000,23435000,chr10,23435000,23440000,14,1.98033012804541e-62,0.997,23434784,23434919,23435047,23435190,267
chr10,25135000,25140000,chr10,25155000,25160000,7,1.3257003170414e-28,0.943,25135802,25135928,25156124,25156441,20417
chr10,25155000,25160000,chr10,25160000,25165000,19,8.39139732882567e-82,1,25156124,25156441,25163812,25164038,7642
chr10,25230000,25235000,chr10,25245000,25250000,11,8.97926484151506e-42,1,25233735,25234090,25247711,25247989,13937
chr10,25265000,25270000,chr10,25275000,25280000,9,1.93915870411097e-35,0.987,25268713,25268885,25277766,25277939,9053
chr10,27790000,27795000,chr10,27815000,27820000,8,9.40266600375603e-33,0.989,27793033,27793524,27815242,27815493,22089
chr10,29050000,29055000,chr10,29065000,29070000,7,1.26627602622498e-26,0.938,29050071,29050274,29067590,29067708,17476
chr10,29065000,29070000,chr10,29070000,29075000,26,1.27584474333616e-108,1,29067590,29067708,29070344,29070566,2806
chr10,29130000,29135000,chr10,29135000,29140000,19,3.35464990037331e-78,1,29134009,29134213,29138822,29138990,4795
chr10,29130000,29135000,chr10,29140000,29145000,15,5.94620443753718e-59,1,29134009,29134213,29142523,29142902,8601
chr10,29135000,29140000,chr10,29140000,29145000,27,2.28342042745706e-111,1,29138822,29138990,29142523,29142902,3806
chr10,3200000,3205000,chr10,3210000,3215000,16,8.18648417642313e-68,1,3204833,3204978,3214559,3215110,9929
chr10,3215000,3220000,chr10,3220000,3225000,23,1.2389257056487e-106,1,3215289,3215437,3222596,3222886,7378
chr10,32340000,32345000,chr10,32350000,32355000,10,2.91959191331033e-39,0.997,32344367,32345601,32350423,32350552,5503
chr10,33250000,33255000,chr10,33265000,33270000,15,1.03868410149366e-59,1,33250773,33251177,33269399,33269742,18595
chr10,33250000,33255000,chr10,33270000,33275000,7,7.44390455421349e-27,0.943,33250773,33251177,33270718,33270861,19814
chr10,33265000,33270000,chr10,33270000,33275000,14,5.85301930943092e-57,0.995,33269399,33269742,33270718,33270861,1219
chr10,35375000,35380000,chr10,35380000,35385000,13,2.19427861833785e-53,0.989,35378704,35379705,35381999,35382174,2882
chr10,3805000,3810000,chr10,3815000,3820000,9,5.84790776473655e-34,0.99,3807394,3807609,3817601,3817776,10187
chr10,43245000,43250000,chr10,43260000,43265000,7,5.07041565372457e-29,0.957,43248686,43248877,43263990,43264586,15506
chr10,44090000,44095000,chr10,44100000,44105000,17,4.86915552996228e-69,1,44094788,44094943,44101782,44102013,7032
